DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.602125	60	2	0	1	6	1	1	0	868	2	0	3.07411	0	0
UL	0.602232	60	2	0	7	6	1	1	0	868	2	0	3.09991 	0	0
DL	0.602375	60	2	1	1	6	1	1	0	868	2	0	3.50381	0	0
UL	0.602482	60	2	1	7	6	1	1	0	868	2	0	3.38941 	0	0
DL	0.602625	60	2	2	1	6	1	1	0	868	2	0	3.32129	0	0
UL	0.602732	60	2	2	7	6	1	1	0	1140	3	0	3.35008 	0	0
DL	0.602875	60	2	3	1	6	1	1	0	868	2	0	3.29698	0	0
UL	0.602982	60	2	3	7	6	1	1	0	1140	3	0	3.22056 	0	0
DL	0.603125	60	3	0	1	6	1	1	0	868	2	0	3.1291	0	0
UL	0.603232	60	3	0	7	6	1	1	0	1140	3	0	3.09514 	0	0.0734258
DL	0.603375	60	3	1	1	6	1	1	0	868	2	0	2.99629	0	0
UL	0.603482	60	3	1	7	6	1	1	0	1140	3	0	2.86482 	0	0.0734258
DL	0.603625	60	3	2	1	6	1	1	0	868	2	0	2.88846	0	0
UL	0.603732	60	3	2	7	6	1	1	0	1140	3	0	2.97599 	0	0.0734258
DL	0.603875	60	3	3	1	6	1	1	0	868	2	0	3.12172	0	0
UL	0.603982	60	3	3	7	6	1	1	0	1140	3	0	3.24879 	0	0
DL	0.604125	60	4	0	1	6	1	1	0	868	2	0	3.16503	0	0
UL	0.604232	60	4	0	7	6	1	1	0	868	2	0	3.01889 	0	0
DL	0.604375	60	4	1	1	6	1	1	0	868	2	0	3.0469	0	0
UL	0.604482	60	4	1	7	6	1	1	0	1140	3	0	2.91796 	0	0.0734258
DL	0.604625	60	4	2	1	6	1	1	0	868	2	0	2.92802	0	0
UL	0.604732	60	4	2	7	6	1	1	0	1140	3	0	2.86146 	0	0.0734258
DL	0.604875	60	4	3	1	6	1	1	0	868	2	0	2.80821	0	0
UL	0.604982	60	4	3	7	6	1	1	0	1140	3	0	2.89854 	0	0.0734258
DL	0.605125	60	5	0	1	6	1	1	0	868	2	0	2.89188	0	0
UL	0.605232	60	5	0	7	6	1	1	0	1140	3	0	3.10461 	0	0
DL	0.605375	60	5	1	1	6	1	1	0	868	2	0	2.994	0	0
UL	0.605482	60	5	1	7	6	1	1	0	868	2	0	3.18927 	0	0
DL	0.605625	60	5	2	1	6	1	1	0	868	2	0	3.46041	0	0
UL	0.605732	60	5	2	7	6	1	1	0	1140	3	0	3.47282 	0	0
DL	0.605875	60	5	3	1	6	1	1	0	868	2	0	3.69289	0	0
UL	0.605982	60	5	3	7	6	1	1	0	1140	3	0	3.708 	0	0
